Total_Duration_Minute,Total_Distance,Number_Of_Stops
900.0,2422,22
950.0,2423,22
545.0,576,5
560.0,576,5
875.0,844,12
825.0,844,13
1045.0,2841,19
1080.0,2840,19
255.0,2156,10
260.0,2155,10
1185.0,2452,26
1320.0,2454,26
1300.0,1651,7
1325.0,1652,7
1015.0,1297,8
1020.0,1300,8
1255.0,1487,10
1215.0,1483,10
200.0,1572,14
80.0,1572,14
710.0,654,11
705.0,654,11
740.0,676,12
745.0,679,12
745.0,2159,14
760.0,2157,14
410.0,430,3
395.0,430,3
1060.0,1333,7
1110.0,1336,7
870.0,790,21
875.0,790,21
465.0,455,14
460.0,455,14
485.0,447,15
480.0,447,17
645.0,618,18
655.0,619,16
610.0,614,8
640.0,615,8
975.0,905,29
995.0,906,29
760.0,700,22
755.0,699,22
1110.0,1025,14
1120.0,1025,14
555.0,2017,26
535.0,2019,26
340.0,1736,24
305.0,1739,25
700.0,2055,31
700.0,2058,31
715.0,2064,31
710.0,2066,31
1010.0,934,17
1020.0,932,17
450.0,409,15
460.0,409,15
690.0,1937,27
540.0,1940,27
60.0,1364,19
55.0,1364,19
1340.0,1244,22
1355.0,1244,22
410.0,1609,22
360.0,1612,22
20.0,1498,10
1430.0,1501,10
475.0,1878,20
420.0,1876,20
460.0,447,14
460.0,447,15
405.0,1914,10
540.0,1914,10
575.0,1850,30
605.0,1850,29
380.0,2992,42
320.0,2993,41
1350.0,2564,31
1300.0,2567,30
1095.0,1027,14
1080.0,1027,14
1235.0,2568,28
1230.0,2567,28
235.0,1496,18
210.0,1499,18
285.0,1584,23
280.0,1583,23
475.0,395,11
645.0,518,10
590.0,522,10
300.0,277,12
300.0,278,12
5.0,1424,16
15.0,1423,15
1025.0,903,13
1005.0,905,12
590.0,543,15
615.0,543,15
1320.0,2548,18
1240.0,2541,18
370.0,1685,16
350.0,1686,16
795.0,2045,21
805.0,2045,21
925.0,866,12
925.0,864,12
550.0,1847,18
560.0,1858,18
1275.0,1167,21
1285.0,1170,21
1045.0,952,15
1045.0,953,15
1155.0,1057,16
1175.0,1059,16
750.0,745,4
725.0,745,4
1350.0,1223,22
1355.0,1224,21
1255.0,1153,11
1260.0,1156,11
240.0,219,9
240.0,219,9
1220.0,1238,23
1240.0,1238,23
800.0,829,9
830.0,745,6
755.0,745,6
1335.0,1246,18
1305.0,1247,18
515.0,1833,31
480.0,1836,31
1305.0,2513,40
